k_array Pk[0,:]
9.782127778435810005e-04 1.202467507308054337e+04
9.886441436864101037e-04 1.214077015311856121e+04
9.991867464664470292e-04 1.225789614247843383e+04
1.009841772380822532e-03 1.237606017741627875e+04
1.020610420275911432e-03 1.249526917093976772e+04
1.031493901782224278e-03 1.261552981351857852e+04
1.042493441450737966e-03 1.273684878181680324e+04
1.053610276890664440e-03 1.285923274632614084e+04
1.064845658908713860e-03 1.298268837029487440e+04
1.076200851649817321e-03 1.310722230863854384e+04
1.087677132739366158e-03 1.323284120683235233e+04
1.099275793426967391e-03 1.335955169978488993e+04
1.110998138731716847e-03 1.348736041069242492e+04
1.122845487589047833e-03 1.361627394987598564e+04
1.134819172999118088e-03 1.374629891359784233e+04
1.146920542176797222e-03 1.387744188285963719e+04
1.159150956703252277e-03 1.400970942218196615e+04
1.171511792679132266e-03 1.414310807836423010e+04
1.184004440879417178e-03 1.427764437922465004e+04
1.196630306909886570e-03 1.441332483232229424e+04
1.209390811365275605e-03 1.455015592365871089e+04
1.222287389989117892e-03 1.468814411636026489e+04
1.235321493835274701e-03 1.482729584934072409e+04
1.248494589431215808e-03 1.496761753594510265e+04
1.261808158943012728e-03 1.510911556257256052e+04
1.275263700342108312e-03 1.525179628728047646e+04
1.288862727573866166e-03 1.539566603836844661e+04
1.302606770727897509e-03 1.554073111294203045e+04
1.316497376210235947e-03 1.568699777545762481e+04
1.330536106917317449e-03 1.583447225624648490e+04
1.344724542411833814e-03 1.598316075001896024e+04
1.359064279100462248e-03 1.613306941434918917e+04
1.373556930413469095e-03 1.628420436813969900e+04
1.388204126986264256e-03 1.643657169006518598e+04
1.403007516842855141e-03 1.659017741689797185e+04
1.417968765581280799e-03 1.674502739221543015e+04
1.433089556561020382e-03 1.690112695431192697e+04
1.448371591092379850e-03 1.705848128628072664e+04
1.463816588627936052e-03 1.721709549662684731e+04
1.479426286955982245e-03 1.737697461707095499e+04
1.495202442396062655e-03 1.753812360032895594e+04
1.511146829996588272e-03 1.770054731786816046e+04
1.527261243734540173e-03 1.786425055763835917e+04
1.543547496717339500e-03 1.802923802177983816e+04
1.560007421386831652e-03 1.819551432430707791e+04
1.576642869725468571e-03 1.836308398877004220e+04
1.593455713464690454e-03 1.853195144589005940e+04
1.610447844295505348e-03 1.870212103117487641e+04
1.627621174081355336e-03 1.887359698250925067e+04
1.644977635073210107e-03 1.904638343772373264e+04
1.662519180126980495e-03 1.922048443213960491e+04
1.680247782923250483e-03 1.939590389609370686e+04
1.698165438189326148e-03 1.957264565243905236e+04
1.716274161923695210e-03 1.975071341402563849e+04
1.734575991622838665e-03 1.993011078115877535e+04
1.753072986510484247e-03 2.011084123903619911e+04
1.771767227769307585e-03 2.029290815516536168e+04
1.790660818775075859e-03 2.047631477675955102e+04
1.809755885333333035e-03 2.066106422811370430e+04
1.829054575918564671e-03 2.084715950796128891e+04
1.848559061915941611e-03 2.103460348681131291e+04
1.868271537865630848e-03 2.122339890426597776e+04
1.888194221709711294e-03 2.141354836632085426e+04
1.908329355041733268e-03 2.160505434264548239e+04
1.928679203358917580e-03 2.179791916384769138e+04
1.949246056317066210e-03 2.199214501871917309e+04
1.970032227988179150e-03 2.218773390024430410e+04
1.991040057120820571e-03 2.238468706044419014e+04
2.012271907403268782e-03 2.258300519742274628e+04
2.033730167729454544e-03 2.278268881338858773e+04
2.055417252467754956e-03 2.298373821719248735e+04
