k Pk
4.009774937095174699e-03 3.904771880604285980e+04
4.052533966892807663e-03 3.932721938194520044e+04
4.095748966079728118e-03 3.960729096560461039e+04
4.139424796975891586e-03 3.988795016834895796e+04
4.183566373751563226e-03 4.016928291618642834e+04
4.228178662980255735e-03 4.045137719095735520e+04
4.273266684197491588e-03 4.073419525987996167e+04
4.318835510465635075e-03 4.101752750817287597e+04
4.364890268944641473e-03 4.130114772406052361e+04
4.411436141468950620e-03 4.158492519471239211e+04
4.458478365130537878e-03 4.186892402406249312e+04
4.506022232868118170e-03 4.215323333656850446e+04
4.554073094062737262e-03 4.243790833709611616e+04
4.602636355139607185e-03 4.272289874511400558e+04
4.651717480176428658e-03 4.300813378343487420e+04
4.701321991518195298e-03 4.329354752099746838e+04
4.751455470398489173e-03 4.357910112059980747e+04
4.802123557567514883e-03 4.386476306867731182e+04
4.853331953926716055e-03 4.415050046686101268e+04
4.905086421170230110e-03 4.443627321155498066e+04
4.957392782433179580e-03 4.472203773566018208e+04
5.010256922946808647e-03 4.500774951487196813e+04
5.063684790700727703e-03 4.529336025757733296e+04
5.117682397112089873e-03 4.557881898938811355e+04
5.172255817701990055e-03 4.586407471347221872e+04
5.227411192779065664e-03 4.614909122068910801e+04
5.283154728130314698e-03 4.643384609274257673e+04
5.339492695719413873e-03 4.671831611020552373e+04
5.396431434392344288e-03 4.700242629040864995e+04
5.453977350590629054e-03 4.728603198316049384e+04
5.512136919072172479e-03 4.756898162520619371e+04
5.570916683639702549e-03 4.785120110371940973e+04
5.630323257877125481e-03 4.813277105162581574e+04
5.690363325893586788e-03 4.841379244133740576e+04
5.751043643075553699e-03 4.869431178813100269e+04
5.812371036846922419e-03 4.897421084183614585e+04
5.874352407437132863e-03 4.925333924069719797e+04
5.936994728657631754e-03 4.953156186661942775e+04
6.000305048686463763e-03 4.980882115776593128e+04
6.064290490861314227e-03 5.008508108175324014e+04
6.128958254481019045e-03 5.036030291141039925e+04
6.194315615615520083e-03 5.063442990722618561e+04
6.260369927924615621e-03 5.090739732150537748e+04
6.327128623485289878e-03 5.117913927380360838e+04
6.394599213627950342e-03 5.144958429999157670e+04
6.462789289781592852e-03 5.171865713381081150e+04
6.531706524327875359e-03 5.198628292796793539e+04
6.601358671464462036e-03 5.225241022078248352e+04
6.671753568077418324e-03 5.251700913070655224e+04
6.742899134622993423e-03 5.278004970926421083e+04
6.814803376018820601e-03 5.304146028349616245e+04
6.887474382544511893e-03 5.330111355237471435e+04
6.960920330752025376e-03 5.355887711568219675e+04
7.035149484385576878e-03 5.381464810737552762e+04
7.110170195311453500e-03 5.406838259621394536e+04
